# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 220 1 41 2053 393462 3 ./.git/ORIG_HEAD
DUPTYPE_WITHIN_SAME_TREE -220 4 41 2053 399182 3 ./.git/refs/remotes/origin/master
DUPTYPE_WITHIN_SAME_TREE -220 3 41 2053 399281 3 ./.git/refs/heads/master
DUPTYPE_FIRST_OCCURRENCE 1134 4 41 2053 393463 3 ./.git/refs/heads/feature/442-2020-summer-event
DUPTYPE_WITHIN_SAME_TREE -1134 5 41 2053 393446 3 ./.git/refs/remotes/origin/feature/442-2020-summer-event
DUPTYPE_FIRST_OCCURRENCE 419 2 1048 2053 415643 3 ./assets/global/chrome_crash.png
DUPTYPE_WITHIN_SAME_TREE -419 2 1048 2053 663393 3 ./assets_en/global/chrome_crash.png
DUPTYPE_FIRST_OCCURRENCE 423 2 1250 2053 415647 3 ./assets/global/kc_ref_point_1.png
DUPTYPE_WITHIN_SAME_TREE -423 2 1250 2053 663397 3 ./assets_en/global/kc_ref_point_1.png
DUPTYPE_FIRST_OCCURRENCE 433 2 1396 2053 415657 3 ./assets/global/scroll_prev.png
DUPTYPE_WITHIN_SAME_TREE -433 2 1396 2053 663407 3 ./assets_en/global/scroll_prev.png
DUPTYPE_FIRST_OCCURRENCE 495 2 1398 2053 415661 3 ./assets/shipswitcher/shiplist_quick_tab_all.png
DUPTYPE_WITHIN_SAME_TREE -495 2 1398 2053 662861 3 ./assets_en/shipswitcher/shiplist_quick_tab_all.png
DUPTYPE_FIRST_OCCURRENCE 425 2 1410 2053 415649 3 ./assets/global/kc_ref_point_3.png
DUPTYPE_WITHIN_SAME_TREE -425 2 1410 2053 663399 3 ./assets_en/global/kc_ref_point_3.png
DUPTYPE_FIRST_OCCURRENCE 424 2 1416 2053 415648 3 ./assets/global/kc_ref_point_2.png
DUPTYPE_WITHIN_SAME_TREE -424 2 1416 2053 662783 3 ./assets_en/global/kc_ref_point_2.png
DUPTYPE_FIRST_OCCURRENCE 496 2 1421 2053 415662 3 ./assets/shipswitcher/shiplist_quick_tab_none.png
DUPTYPE_WITHIN_SAME_TREE -496 2 1421 2053 662862 3 ./assets_en/shipswitcher/shiplist_quick_tab_none.png
DUPTYPE_FIRST_OCCURRENCE 398 2 1521 2053 415622 3 ./assets/fleet/fleet_indicator_shiplist.png
DUPTYPE_WITHIN_SAME_TREE -398 2 1521 2053 663692 3 ./assets_en/fleet/fleet_indicator_shiplist.png
DUPTYPE_FIRST_OCCURRENCE 498 2 1534 2053 415664 3 ./assets/shipswitcher/shiplist_sort_arrow.png
DUPTYPE_WITHIN_SAME_TREE -498 2 1534 2053 662864 3 ./assets_en/shipswitcher/shiplist_sort_arrow.png
DUPTYPE_FIRST_OCCURRENCE 432 2 1540 2053 415656 3 ./assets/global/scroll_next.png
DUPTYPE_WITHIN_SAME_TREE -432 2 1540 2053 663406 3 ./assets_en/global/scroll_next.png
DUPTYPE_FIRST_OCCURRENCE 490 2 1596 2053 921907 3 ./assets/resupply/expedition_resupply_fairy.png
DUPTYPE_WITHIN_SAME_TREE -490 2 1596 2053 662854 3 ./assets_en/resupply/expedition_resupply_fairy.png
DUPTYPE_FIRST_OCCURRENCE 410 2 1600 2053 415634 3 ./assets/fleet/resupply_alert_red.png
DUPTYPE_WITHIN_SAME_TREE -410 2 1600 2053 662762 3 ./assets_en/fleet/resupply_alert_red.png
DUPTYPE_FIRST_OCCURRENCE 411 2 1614 2053 415635 3 ./assets/fleet/ship_state_dmg_heavy.png
DUPTYPE_WITHIN_SAME_TREE -411 2 1614 2053 662763 3 ./assets_en/fleet/ship_state_dmg_heavy.png
DUPTYPE_FIRST_OCCURRENCE 409 2 1629 2053 415633 3 ./assets/fleet/resupply_alert.png
DUPTYPE_WITHIN_SAME_TREE -409 2 1629 2053 662761 3 ./assets_en/fleet/resupply_alert.png
DUPTYPE_FIRST_OCCURRENCE 412 2 1664 2053 415636 3 ./assets/fleet/ship_state_dmg_minor.png
DUPTYPE_WITHIN_SAME_TREE -412 2 1664 2053 662764 3 ./assets_en/fleet/ship_state_dmg_minor.png
DUPTYPE_FIRST_OCCURRENCE 356 2 1678 2053 415580 3 ./assets/combat/flagship_marker.png
DUPTYPE_WITHIN_SAME_TREE -356 2 1678 2053 536105 3 ./assets_en/combat/flagship_marker.png
DUPTYPE_FIRST_OCCURRENCE 413 2 1727 2053 415637 3 ./assets/fleet/ship_state_dmg_moderate.png
DUPTYPE_WITHIN_SAME_TREE -413 2 1727 2053 662765 3 ./assets_en/fleet/ship_state_dmg_moderate.png
DUPTYPE_FIRST_OCCURRENCE 390 2 1901 2053 415614 3 ./assets/fleet/fleet_1.png
DUPTYPE_WITHIN_SAME_TREE -390 2 1901 2053 663682 3 ./assets_en/fleet/fleet_1.png
